,ECA2_0019_01.a_p1,ECA2_0019_02.a_p1,ECA2_0019_04.a_p1,ECA2_0019_05.a_p1,ECA2_0019_07.a_p1,ECA2_0019_08.a_p1,ECA2_0019_09.a_p1,ECA2_0019_10.a_p1
407.206625272182,0,0,0,0,0,0,0,1
408.190704759104,0,0,0,0,1,0,0,0
408.92077070099,1,1,1,0,0,1,1,0
408.933149163871,1,1,0,0,0,1,0,0
409.041236955638,1,1,1,1,1,1,1,1
409.044585653741,0,1,0,0,0,0,0,0
409.077642662221,1,1,1,1,1,1,1,1
409.117275768627,1,0,0,0,0,0,0,0
409.21508831346,0,0,0,0,0,1,0,0
410.109275434405,1,1,0,0,0,0,1,0
411.020499919382,0,0,0,1,0,1,0,0
411.023863509172,0,0,0,0,0,0,0,1
411.05684843153,1,1,1,1,1,1,1,1
411.090058672936,1,0,0,1,1,0,1,1
411.093245879104,1,1,1,1,1,1,1,1
411.107649226468,1,0,1,1,1,0,0,0
411.114389790246,1,1,0,0,0,0,0,0
411.121624831434,1,1,0,0,0,0,1,0
411.194358590618,0,0,1,0,1,0,0,0
411.987079848017,0,1,0,0,0,0,0,0
413.036153513737,0,0,1,1,1,1,1,0
413.062035020332,0,0,0,1,0,0,0,0
413.072567159976,1,1,1,1,1,1,1,1
413.151853631377,0,0,1,0,0,0,0,0
413.21001881107,0,0,1,0,0,1,0,0
413.985037831169,0,1,0,0,0,0,0,0
414.112791552024,0,0,0,0,0,1,0,0
414.168871599532,0,1,0,0,0,0,0,0
414.235795156206,0,0,1,0,0,0,0,0
415.03066599077,0,0,0,1,0,1,0,0
415.051805542468,1,0,1,1,1,1,1,1
415.06708997868,1,0,1,0,0,1,0,0
415.088163934559,1,1,1,1,1,1,1,1
415.103422029856,0,0,1,0,0,0,0,0
415.137543773992,1,0,0,0,0,0,0,0
415.212540167554,0,0,0,0,0,1,0,0
415.219764365738,1,1,1,1,1,1,1,1
415.982108023989,0,1,0,0,0,0,0,0
416.2150152138,0,1,0,0,0,0,0,0
417.046308622419,1,1,1,1,1,1,1,0
