,ECA2_0023_01.a_p1,ECA2_0023_02.a_p1,ECA2_0023_03.a_p1,ECA2_0023_05.a_p1,ECA2_0023_08.a_p1,ECA2_0023_09.a_p1,ECA2_0023_10.a_p15
403.176175926035,0,0,1,0,0,0,0
403.183382504284,0,1,1,0,0,0,0
403.194825272036,0,1,0,0,1,0,0
403.212571157338,0,0,0,0,1,0,0
403.262038227486,0,0,1,0,0,0,0
404.075390140316,0,0,1,0,0,0,0
404.940198008835,1,0,1,0,0,0,0
405.028647889213,0,0,0,0,0,0,1
405.046340646475,0,0,0,0,0,1,0
405.059394742209,0,0,0,1,0,1,1
405.082718505381,0,1,0,0,1,1,0
405.11909766238,1,1,0,1,1,1,0
405.147393218193,0,0,1,0,0,0,0
405.155524006246,0,1,1,1,1,1,0
405.19186350397,1,0,0,1,0,1,0
407.025605080093,0,0,0,0,0,0,1
407.061933456416,0,1,0,0,1,1,0
407.098352639308,1,1,1,1,1,1,0
408.215685302425,0,0,0,0,0,0,1
408.92077070099,1,0,0,0,1,1,0
409.041236955638,0,0,0,0,0,1,0
409.077642662221,1,1,1,1,1,1,0
409.176317750975,1,0,1,1,1,1,0
410.03402667106,0,0,0,0,0,0,1
411.018902656725,0,0,0,1,0,0,1
411.05684843153,0,0,0,0,1,1,0
411.090058672936,1,1,1,0,1,0,1
411.093245879104,1,1,1,1,1,1,0
411.114389790246,0,1,0,0,0,0,0
411.121624831434,0,1,1,0,0,1,0
411.188456411385,0,0,1,0,0,0,0
413.070224593442,0,0,0,0,0,0,1
413.072567159976,1,1,0,0,1,1,0
413.096854864581,0,0,0,0,0,0,1
413.112217818112,0,0,1,0,0,0,0
413.133185297715,0,1,0,1,0,0,0
413.21001881107,1,0,0,1,0,1,0
413.327178135701,0,1,0,0,0,0,0
414.168871599532,1,0,0,0,0,0,0
415.06708997868,0,1,0,0,1,1,1
415.088163934559,1,1,0,0,1,1,0
415.137543773992,0,0,1,0,0,0,0
415.139800834592,0,1,0,0,1,0,0
415.219764365738,1,1,0,0,0,1,0
417.082729755436,0,0,0,0,1,0,0
417.116858860829,0,1,0,0,0,0,0
417.119104387758,1,1,1,1,0,1,0
417.155477299405,0,0,0,0,0,1,0
417.199108069681,0,1,0,0,0,1,0
417.35042850303,0,0,0,0,1,1,0
418.000387306762,0,0,0,0,0,0,1
418.994064258265,0,0,0,0,0,0,1
419.062000617374,0,1,0,0,1,0,0
419.098346584978,1,1,1,1,1,1,0
419.11629690261,0,0,1,0,0,0,0
419.134769001433,1,1,1,1,1,1,0
419.171121992706,0,1,0,0,1,1,0
419.329714064048,0,1,1,1,0,1,0
420.950809626186,1,0,1,0,1,1,0
421.077587970374,0,1,0,0,1,1,0
421.114012814373,1,1,1,1,1,1,0
421.299301617278,0,1,1,0,0,0,0
423.051859280408,0,0,0,0,0,0,1
423.056912426131,0,0,1,0,1,1,0
423.093256520067,1,1,1,1,1,1,0
423.158072465456,1,0,0,0,0,0,0
423.222368083401,0,0,0,1,1,0,1
425.025784703384,0,0,0,0,0,0,1
425.072968257144,0,0,0,0,0,0,1
425.137290031914,0,1,0,0,1,1,0
425.148585145993,0,0,1,0,0,0,0
425.173664486624,0,0,1,0,1,0,0
426.074248693157,0,1,1,1,0,0,1
426.179795839936,0,0,0,1,0,0,0
427.013985923954,0,0,0,1,0,0,0
427.050418936597,0,0,0,1,0,0,0
427.051827179376,0,0,0,0,0,1,0
427.070106927231,0,0,0,1,0,0,1
427.085894080309,0,1,0,1,1,0,1
427.088210321811,1,1,1,1,1,1,0
427.112456438489,0,1,1,0,1,0,1
427.116532815171,1,1,0,0,1,1,0
427.152939196354,1,0,1,1,1,1,0
427.971269756465,0,0,0,0,0,0,1
429.064700591894,0,0,0,0,0,0,1
429.067478152054,0,0,0,0,1,0,0
429.082780166243,0,1,0,1,1,1,0
429.083015593233,0,0,0,0,0,0,1
429.093332582133,1,0,0,0,0,0,0
429.095806825482,0,1,0,0,1,1,0
429.235474484795,1,1,0,0,1,1,0
430.935094826989,1,0,0,0,1,1,0
430.953869467965,0,0,0,0,0,0,1
431.026326708821,0,0,0,0,0,0,1
431.061989235377,0,0,0,0,0,1,0
431.070936889849,0,0,0,1,0,0,0
431.07256596998,0,0,0,0,0,0,1
431.098403029763,0,1,0,1,0,1,0
431.134790025813,0,1,1,0,0,1,0
431.17112897083,0,0,0,0,0,1,0
431.178343087281,0,0,0,0,0,1,0
431.214775341593,0,1,0,0,0,1,0
433.041278715971,0,0,0,0,1,1,0
433.077685082233,1,1,1,0,1,1,0
433.114024792418,1,1,1,0,1,1,0
433.148149099096,0,1,0,0,0,0,0
433.150430202618,1,1,1,1,1,1,0
433.186850537169,0,0,0,0,1,0,0
433.309032004276,1,1,0,0,0,0,0
434.184822821447,0,0,0,0,1,0,0
435.044227386632,0,0,0,0,1,0,1
435.056955274874,0,0,0,0,1,1,0
435.09330045953,1,1,1,1,1,1,0
435.12967326314,1,1,1,1,1,1,0
437.036189125917,0,0,0,0,0,1,0
437.072585458072,1,1,0,0,1,1,1
437.075965368891,0,0,1,0,0,0,0
437.108930056889,1,1,1,0,1,1,0
437.173693177255,0,0,1,0,0,0,0
437.210061562984,0,0,1,0,0,0,0
437.257770156864,0,0,0,0,1,1,0
437.974286920209,0,0,0,0,0,0,1
438.098498869434,0,0,0,0,0,1,0
